"PlayerYear","PC1","PC2","PC3","Cluster","rank"
"Aaron Judge 2022",258.542004074532,149.832457416438,93.7798333242349,7,1
"Aaron Judge 2023",255.834947663302,121.764163428583,78.4417210986898,7,2
"Aaron Judge 2017",252.638869486044,110.178618874665,86.7255402267797,7,3
"Giancarlo Stanton 2015",250.392339313793,97.1134762374689,120.463709365004,7,4
"Miguel Sanó 2015",237.969266599171,59.3034253423068,85.0474360438399,4,5
"Joey Gallo 2019",229.698823075641,61.7141051746606,78.5887930888691,4,6
"Chris Davis 2015",224.298204844457,88.736702733672,106.47264939333,7,7
"J.D. Martinez 2017",222.761947716259,123.584231576707,118.930989261553,7,8
"Yordan Alvarez 2022",220.583801113624,173.8831756392,96.252825083631,7,9
"Joey Gallo 2017",219.791624488428,54.5888563743104,105.553544615835,4,10
"Billy Burns 2016",4.05849311642059,106.780552152624,105.093054318541,6,1
"Dee Strange-Gordon 2016",9.8371747647811,83.7222846878649,102.396762199263,6,2
"Ben Revere 2016",13.1263008184655,118.1827993676,88.1182579477362,3,3
"Nicky Lopez 2019",14.9632105283749,98.9293641938402,94.6959210861546,6,4
"Ronald Torreyes 2017",15.3713951436195,103.503627024127,126.12403988595,6,5
"Ichiro Suzuki 2015",17.225910952225,112.304733545589,78.7963230037484,3,6
"David Fletcher 2021",17.2661330537884,137.713976883445,102.084546411471,3,7
"Ronald Torreyes 2021",18.3601291947041,110.511709166901,104.521737723849,6,8
"Dee Strange-Gordon 2017",19.3157013945026,115.269888292548,118.23035543512,6,9
"Erick Aybar 2016",19.9284786734395,97.3472636573575,102.989151447348,6,10
"Ronald Acuña Jr. 2023",176.139867055803,189.809357346362,99.0986575774489,7,1
"Luis Arraez 2023",61.5583266730265,180.486251293482,111.458197693149,3,2
"Daniel Murphy 2016",122.582657262103,174.734441434765,117.623614009375,7,3
"Yordan Alvarez 2022",220.583801113624,173.8831756392,96.252825083631,7,4
"DJ LeMahieu 2016",114.994546356675,172.18406376802,87.7260993380725,7,5
"Howie Kendrick III 2019",140.077598041376,171.913597793572,118.187597828741,7,6
"Michael Brantley Jr. 2022",107.418323114272,171.058843522735,79.158999559137,3,7
"Anthony Rendon 2019",140.038262760099,169.143644109134,81.4711932524181,7,8
"Luis Arraez 2022",62.7130332052593,168.897683748123,84.9635760483721,3,9
"Mookie Betts 2018",170.644435745671,168.786531305094,77.3898112758978,7,10
"Keon Broxton 2019",92.7997867997648,-9.41775074952591,88.2694438363257,5,1
"Brett Phillips 2022",76.9563278400292,5.89211887088494,85.6841742530548,5,2
"Jeff Mathis 2019",37.7475316234194,7.89375192214546,104.870776061484,5,3
"Joey Gallo 2023",164.416164143616,12.2250597016367,84.5555876241601,4,4
"Danny Espinosa 2017",96.7834629800538,14.2006919942973,108.546924564278,5,5
"Adam Engel 2017",64.5883774541019,23.3904112793892,103.896798234967,5,6
"Mike Zunino 2015",109.536882178003,25.074374384646,110.569353401725,5,7
"Jarrod Saltalamacchia 2016",129.952042315771,25.2023431414982,73.9224811751558,4,8
"Adam Rosales 2017",69.7941319316126,26.0081293179147,109.712682653975,5,9
"Alex Avila 2016",148.748762608644,26.2443243350327,46.6172202061729,4,10
"Salvador Perez 2021",161.336942462237,112.635784070412,160.710826685087,2,1
"Mickey Moniak 2023",126.430797431364,66.7962984446552,158.679077612138,2,2
"Salvador Perez 2017",116.386485464113,128.532975365571,157.220960396717,2,3
"Yainer Diaz 2023",129.177221190365,126.798591564241,155.034397765817,2,4
"Salvador Perez 2023",107.299480462546,104.776406862126,153.967728677102,2,5
"Jorge Alfaro 2019",128.481901900279,71.1517234825016,153.640649082953,2,6
"Salvador Perez 2018",117.757710007239,118.387296646645,153.109256333035,2,7
"Javier Báez 2018",141.881130328884,96.7302584651012,152.612919396985,2,8
"Javier Báez 2021",136.438045134201,68.035691423568,152.214180436621,2,9
"Francisco Mejía 2022",51.6262622016701,97.1385344994742,152.07016754647,6,10
"Juan Soto 2021",163.543888855774,154.773140988037,39.7020252533732,7,1
"Russell Martin 2018",102.813361001501,69.7720478947157,40.0815186448867,1,2
"Matt Joyce 2016",148.610152540831,77.668228115719,42.5166160773371,1,3
"Yasmani Grandal 2021",167.541800981296,124.423688267854,43.1505608157641,7,4
"Juan Soto 2022",150.646154029162,147.438097647126,44.2820792977794,7,5
"Logan Forsythe 2017",100.403253755145,87.7525316622503,46.4641322859395,1,6
"Alex Avila 2016",148.748762608644,26.2443243350327,46.6172202061729,4,7
"Joey Votto 2015",181.750177203705,133.656127507518,46.6647870072286,7,8
"Alex Avila 2015",176.064912982439,54.0935311743386,46.7728998657422,4,9
"Joey Votto 2018",118.933850281497,144.434237256688,47.250366876412,7,10
